EmployeeID,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,OverTime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,EngagementScore,PromotionLast5Years,Attrition
1,58,Male,Sales,HR Specialist,1,13897,2,3,No,5,4,3,2,1,4,0.1,1,0
2,48,Female,HR,Sales Executive,1,8784,8,6,Yes,30,9,3,2,3,3,0.05,1,1
3,34,Female,R&D,Analyst,2,11498,17,8,No,38,8,3,1,1,1,0.73,0,0
4,27,Female,Finance,Manager,5,13334,6,5,Yes,36,6,3,4,1,4,0.38,0,0
5,40,Male,Finance,Technician,3,7493,1,6,No,38,5,2,1,1,4,0.28,1,1
6,58,Male,HR,Consultant,3,2258,0,7,No,23,3,4,3,4,4,0.69,0,0
7,38,Male,HR,Consultant,2,8588,4,7,No,23,4,4,2,3,1,0.7,0,1
8,42,Female,Marketing,Sales Executive,3,11416,2,8,No,6,5,3,3,4,1,0.36,1,0
9,30,Female,HR,Technician,2,3665,6,9,No,23,7,3,4,2,4,0.95,1,0
10,30,Male,Marketing,HR Specialist,2,11595,5,1,No,15,8,3,2,2,1,0.4,1,0
11,43,Male,R&D,Technician,4,3865,0,6,No,1,1,3,4,4,2,0.38,0,1
12,55,Female,R&D,Sales Executive,1,2765,18,1,Yes,36,7,3,2,1,2,0.78,0,1
13,59,Female,Sales,Engineer,5,10256,19,6,No,39,7,3,1,2,1,0.82,0,1
14,43,Female,HR,Sales Executive,5,5449,13,8,No,28,6,4,4,2,3,0.29,0,1
15,22,Female,Sales,Analyst,1,4705,9,3,Yes,10,3,3,2,3,3,0.69,1,0
16,41,Male,IT,Sales Executive,5,7765,1,4,Yes,33,8,4,2,1,2,0.64,0,1
17,21,Female,R&D,Consultant,3,6974,10,4,No,24,6,4,1,4,2,0.03,0,0
18,43,Female,Finance,HR Specialist,3,2195,15,1,Yes,6,4,3,2,1,4,0.2,0,1
19,49,Male,Marketing,Sales Executive,5,3383,16,2,Yes,14,3,3,4,1,2,0.1,1,1
20,57,Male,IT,Sales Executive,4,4435,4,9,Yes,32,5,4,1,1,3,0.89,0,0
21,21,Female,Finance,HR Specialist,5,14352,17,0,Yes,19,5,3,2,2,2,0.96,0,1
22,40,Male,IT,Sales Executive,2,3450,15,2,No,6,8,3,4,2,4,0.82,0,0
23,52,Female,Sales,Consultant,2,10414,9,4,No,20,6,3,4,2,4,0.31,0,0
24,31,Female,Sales,HR Specialist,1,9924,5,8,No,25,0,4,1,4,3,0.86,0,0
25,41,Male,Marketing,Consultant,3,9058,7,0,No,20,3,3,4,4,3,0.06,1,0
26,44,Male,R&D,Consultant,4,9316,5,5,Yes,38,3,3,3,4,4,0.69,0,0
